experiment,sweep_id,datetime,string,note,tuned_direction,out_of_tune,cents_signed,error_sign,magnitude_quality,notes
1,1,2026-08-10 08:23:14,1,E(high),down,0,,,,
1,1,2026-08-10 08:23:14,2,B,up,0,,,,
1,1,2026-08-10 08:23:14,3,G,down,1,,flat,unknown,
1,1,2026-08-10 08:23:14,4,D,up,0,,,,
1,1,2026-08-10 08:23:14,5,A,down,0,,,,
1,1,2026-08-10 08:23:14,6,E(low),up,0,,,,
1,2,2026-08-10 08:39:30,1,E(high),down,1,,flat,unknown,
1,2,2026-08-10 08:39:30,2,B,up,1,,flat,unknown,
1,2,2026-08-10 08:39:30,3,G,down,1,,flat,unknown,
1,2,2026-08-10 08:39:30,4,D,up,1,,flat,unknown,
1,2,2026-08-10 08:39:30,5,A,down,1,,flat,unknown,
1,2,2026-08-10 08:39:30,6,E(low),up,1,,flat,unknown,
1,3,2026-08-10 09:58:09,1,E(high),down,0,,,,
1,3,2026-08-10 09:58:09,2,B,up,1,,flat,unknown,
1,3,2026-08-10 09:58:09,3,G,down,1,,flat,unknown,
1,3,2026-08-10 09:58:09,4,D,up,0,,,,
1,3,2026-08-10 09:58:09,5,A,down,1,,sharp,unknown,
1,3,2026-08-10 09:58:09,6,E(low),up,1,,sharp,unknown,
1,4,2026-08-10 12:25:41,1,E(high),down,1,-4,flat,measured,
1,4,2026-08-10 12:25:41,2,B,up,1,-5,flat,measured,
1,4,2026-08-10 12:25:41,3,G,down,1,-14,flat,measured,
1,4,2026-08-10 12:25:41,4,D,up,0,,,,
1,4,2026-08-10 12:25:41,5,A,down,1,,flat,unknown,
1,4,2026-08-10 12:25:41,6,E(low),up,1,,flat,unknown,
1,5,2026-08-10 13:45:27,1,E(high),down,0,,,,
1,5,2026-08-10 13:45:27,2,B,up,0,,,,
1,5,2026-08-10 13:45:27,3,G,down,1,-8,flat,measured,
1,5,2026-08-10 13:45:27,4,D,up,1,-4,flat,measured,
1,5,2026-08-10 13:45:27,5,A,down,0,,,,
1,5,2026-08-10 13:45:27,6,E(low),up,0,,,,
1,6,2026-08-10 15:55:56,1,E(high),down,1,-5,flat,measured,
1,6,2026-08-10 15:55:56,2,B,up,1,-6,flat,measured,
1,6,2026-08-10 15:55:56,3,G,down,1,-9,flat,measured,
1,6,2026-08-10 15:55:56,4,D,up,0,,,,
1,6,2026-08-10 15:55:56,5,A,down,1,-7,flat,measured,
1,6,2026-08-10 15:55:56,6,E(low),up,1,-5,flat,measured,
1,7,2026-08-10 20:45:16,1,E(high),down,0,,,,
1,7,2026-08-10 20:45:16,2,B,up,0,,,,
1,7,2026-08-10 20:45:16,3,G,down,1,-6,flat,measured,
1,7,2026-08-10 20:45:16,4,D,up,1,-4,flat,measured,
1,7,2026-08-10 20:45:16,5,A,down,1,-8,flat,measured,
1,7,2026-08-10 20:45:16,6,E(low),up,1,-6,flat,interpolated,"interpolated: mean of the other flat strings in this sweep (s5=-8,s4=-4,s3=-6); source cell was blank"
1,8,2026-08-11 08:39:27,1,E(high),down,1,6,sharp,measured,
1,8,2026-08-11 08:39:27,2,B,up,1,10,sharp,measured,
1,8,2026-08-11 08:39:27,3,G,down,1,14,sharp,measured,
1,8,2026-08-11 08:39:27,4,D,up,1,12,sharp,measured,
1,8,2026-08-11 08:39:27,5,A,down,1,11,sharp,measured,
1,8,2026-08-11 08:39:27,6,E(low),up,1,14,sharp,measured,
1,9,2026-08-11 10:21:48,1,E(high),down,0,,,,
1,9,2026-08-11 10:21:48,2,B,up,1,-5,flat,measured,
1,9,2026-08-11 10:21:48,3,G,down,1,-11,flat,measured,
1,9,2026-08-11 10:21:48,4,D,up,1,-4,flat,measured,
1,9,2026-08-11 10:21:48,5,A,down,1,-5,flat,measured,
1,9,2026-08-11 10:21:48,6,E(low),up,0,,,,
1,10,2026-08-11 13:21:39,1,E(high),down,1,-5,flat,measured,
1,10,2026-08-11 13:21:39,2,B,up,1,-4,flat,measured,
1,10,2026-08-11 13:21:39,3,G,down,1,-6,flat,measured,
1,10,2026-08-11 13:21:39,4,D,up,1,-4,flat,measured,
1,10,2026-08-11 13:21:39,5,A,down,0,,,,
1,10,2026-08-11 13:21:39,6,E(low),up,0,,,,
1,11,2026-08-11 14:11:44,1,E(high),down,0,,,,
1,11,2026-08-11 14:11:44,2,B,up,0,,,,
1,11,2026-08-11 14:11:44,3,G,down,1,-4,flat,measured,
1,11,2026-08-11 14:11:44,4,D,up,0,,,,
1,11,2026-08-11 14:11:44,5,A,down,1,-5,flat,measured,
1,11,2026-08-11 14:11:44,6,E(low),up,1,-7,flat,measured,
1,12,2026-08-11 16:54:41,1,E(high),down,0,,,,
1,12,2026-08-11 16:54:41,2,B,up,0,,,,
1,12,2026-08-11 16:54:41,3,G,down,1,-5,flat,measured,
1,12,2026-08-11 16:54:41,4,D,up,0,,,,
1,12,2026-08-11 16:54:41,5,A,down,0,,,,
1,12,2026-08-11 16:54:41,6,E(low),up,0,,,,
1,13,2026-08-11 20:25:07,1,E(high),down,1,-4,flat,measured,
1,13,2026-08-11 20:25:07,2,B,up,1,-5,flat,measured,
1,13,2026-08-11 20:25:07,3,G,down,1,-9,flat,measured,
1,13,2026-08-11 20:25:07,4,D,up,1,-6,flat,measured,
1,13,2026-08-11 20:25:07,5,A,down,1,-6,flat,measured,
1,13,2026-08-11 20:25:07,6,E(low),up,0,,,,
1,14,2026-08-12 08:53:51,1,E(high),down,0,,,,
1,14,2026-08-12 08:53:51,2,B,up,1,6,sharp,measured,
1,14,2026-08-12 08:53:51,3,G,down,0,,,,
1,14,2026-08-12 08:53:51,4,D,up,1,-6,flat,measured,
1,14,2026-08-12 08:53:51,5,A,down,0,,,,
1,14,2026-08-12 08:53:51,6,E(low),up,1,-4,flat,measured,
1,15,2026-08-12 13:14:38,1,E(high),down,0,,,,
1,15,2026-08-12 13:14:38,2,B,up,0,,,,
1,15,2026-08-12 13:14:38,3,G,down,1,-4,flat,measured,
1,15,2026-08-12 13:14:38,4,D,up,0,,,,
1,15,2026-08-12 13:14:38,5,A,down,1,4,sharp,measured,
1,15,2026-08-12 13:14:38,6,E(low),up,0,,,,
1,16,2026-08-12 18:58:42,1,E(high),down,0,,,,
1,16,2026-08-12 18:58:42,2,B,up,0,,,,
1,16,2026-08-12 18:58:42,3,G,down,1,-7,flat,measured,
1,16,2026-08-12 18:58:42,4,D,up,0,,,,
1,16,2026-08-12 18:58:42,5,A,down,0,,,,
1,16,2026-08-12 18:58:42,6,E(low),up,1,-8,flat,measured,
1,17,2026-08-12 23:12:11,1,E(high),down,0,,,,
1,17,2026-08-12 23:12:11,2,B,up,0,,,,
1,17,2026-08-12 23:12:11,3,G,down,0,,,,
1,17,2026-08-12 23:12:11,4,D,up,0,,,,
1,17,2026-08-12 23:12:11,5,A,down,0,,,,
1,17,2026-08-12 23:12:11,6,E(low),up,1,5,sharp,measured,
2,18,2026-08-13 08:49:48,1,E(high),up,1,4,sharp,measured,
2,18,2026-08-13 08:49:48,2,B,down,1,10,sharp,measured,
2,18,2026-08-13 08:49:48,3,G,up,1,10,sharp,measured,
2,18,2026-08-13 08:49:48,4,D,down,1,8,sharp,measured,
2,18,2026-08-13 08:49:48,5,A,up,1,9,sharp,measured,
2,18,2026-08-13 08:49:48,6,E(low),down,1,18,sharp,measured,
2,19,2026-08-13 10:07:44,1,E(high),up,0,,,,
2,19,2026-08-13 10:07:44,2,B,down,1,-6,flat,measured,
2,19,2026-08-13 10:07:44,3,G,up,1,-5,flat,measured,
